,0,1
0,0.0,0.0
1,10.0,0.018452181051531853
2,16.0,0.13018259525672085
3,66.0,-0.12993147495176635
4,151.0,0.1281416902293433
5,293.0,-0.32992221261884186
6,554.0,0.19644515529873086
7,697.0,-0.17928367108496832
8,776.0,0.15605467757508
9,897.0,-0.030557947495087296
10,966.0,-0.0006916454005579572
11,1066.0,-0.10307017543859645
12,1141.0,0.024630541871921315
13,1200.0,-0.11820330969267148
14,1264.0,0.4017857142857143
15,1392.0,-0.04621848739495793
16,1484.0,0.6455399061032864
17,1664.0,-0.06162464985994391
18,1744.0,0.045977011494252915
19,1756.0,-0.18092566619915848
20,1839.0,0.4275491949910556
21,1896.0,-0.07499999999999996
22,1912.0,0.18129496402877707
23,1982.0,-0.22142857142857145
24,2220.0,0.10939907550077041
25,2262.0,-0.07537012113055176
26,2304.0,0.7664670658682636
