,TmU,k_count,ap,r_total,ccwap
87,2017-09-12,88,6.31079545455,0,5.759952
88,2017-09-13,89,6.3406741573,0,5.759952
89,2017-09-14,90,6.37255555556,2,5.75708367347
90,2017-09-15,91,6.40098901099,2,5.75708367347
91,2017-09-18,92,6.43565217391,1,6.55177253219
92,2017-09-19,93,6.46709677419,3,6.724
93,2017-09-20,94,6.49936170213,2,6.444
94,2017-09-21,95,6.52736842105,2,6.724
95,2017-09-22,96,6.555625,2,6.724
96,2017-09-25,97,6.58288659794,1,6.724
97,2017-09-26,98,6.60653061224,1,6.444
98,2017-09-27,99,6.63262626263,1,6.724
99,2017-09-28,100,6.6628,1,6.724
100,2017-09-29,101,6.6901980198,0,6.724
101,2017-10-09,102,6.72333333333,0,6.724
102,2017-10-10,103,6.7567961165,0,6.724
103,2017-10-11,104,6.79019230769,1,6.22335640138
104,2017-10-12,105,6.81819047619,0,6.22335640138
105,2017-10-13,106,6.84622641509,0,6.22335640138
106,2017-10-16,107,6.86943925234,0,6.22335640138
107,2017-10-17,108,6.89277777778,0,6.22335640138
108,2017-10-18,109,6.91376146789,0,6.22335640138
109,2017-10-19,110,6.93545454545,0,6.22335640138
110,2017-10-20,111,6.95945945946,0,6.22335640138
111,2017-10-23,112,6.98375,0,6.22335640138
112,2017-10-24,113,7.0096460177,0,6.22335640138
113,2017-10-25,114,7.0350877193,0,6.22335640138
114,2017-10-26,115,7.06260869565,0,6.22335640138
115,2017-10-27,116,7.08853448276,0,6.22335640138
116,2017-10-30,117,7.11034188034,0,6.22335640138
117,2017-10-31,118,7.13347457627,0,6.22335640138
118,2017-11-01,119,7.15848739496,0,6.22335640138
119,2017-11-02,120,7.18241666667,0,6.22335640138
120,2017-11-03,121,7.20181818182,0,6.22335640138
121,2017-11-06,122,7.22581967213,0,6.22335640138
122,2017-11-07,123,7.25284552846,0,6.26822916667
123,2017-11-08,124,7.28443548387,0,6.26620833333
124,2017-11-09,125,7.3164,0,6.41233766234
125,2017-11-10,126,7.3569047619,0,9.2212
126,2017-11-13,127,7.40362204724,0,8.7146192053
127,2017-11-14,128,7.44484375,0,8.7146192053
128,2017-11-15,129,7.48387596899,0,8.7146192053
129,2017-11-16,130,7.52930769231,0,8.7146192053
130,2017-11-17,131,7.57114503817,1,8.53418493151
131,2017-11-20,132,7.61962121212,0,8.53418493151
132,2017-11-21,133,7.66917293233,3,8.5358136646
133,2017-11-22,134,7.71395522388,3,8.5358136646
134,2017-11-23,135,7.74792592593,1,8.5358136646
135,2017-11-24,136,7.78330882353,0,8.5358136646
136,2017-11-27,137,7.81124087591,0,8.5358136646
