,TmU,k_count,ap,r_total,ccwap
0,2017-05-10,1,6.02,0,0.0
1,2017-05-11,2,5.895,0,0.0
2,2017-05-12,3,5.81,0,0.0
3,2017-05-15,4,5.77,0,0.0
4,2017-05-16,5,5.77,5,5.69467889908
5,2017-05-17,6,5.78,3,5.73575357536
6,2017-05-18,7,5.77714285714,6,5.74450132392
7,2017-05-19,8,5.78,12,5.74952260672
8,2017-05-22,9,5.77111111111,16,5.75109680189
9,2017-05-23,10,5.727,22,5.76548729043
10,2017-05-24,11,5.70090909091,9,5.75297962382
11,2017-05-25,12,5.68416666667,6,5.75297962382
12,2017-05-26,13,5.67,5,5.68269343781
13,2017-05-31,14,5.65785714286,5,5.67009532215
14,2017-06-01,15,5.63066666667,4,5.65812309275
15,2017-06-02,16,5.61,4,5.66190740741
16,2017-06-05,17,5.59470588235,3,5.66190740741
17,2017-06-06,18,5.58277777778,2,5.66190740741
18,2017-06-07,19,5.57736842105,2,5.57201968085
19,2017-06-08,20,5.571,2,5.5648485
20,2017-06-09,21,5.56666666667,6,5.55428564815
21,2017-06-12,22,5.55863636364,6,5.54517974138
22,2017-06-13,23,5.55260869565,7,5.53764631148
23,2017-06-14,24,5.54708333333,7,5.53081914063
24,2017-06-15,25,5.5464,9,5.52664829882
25,2017-06-16,26,5.55038461538,7,5.52957246879
26,2017-06-19,27,5.55222222222,8,5.53347141919
27,2017-06-20,28,5.55428571429,8,5.5369809613
28,2017-06-21,29,5.55655172414,10,5.54048345367
29,2017-06-22,30,5.55466666667,10,5.54061050517
30,2017-06-23,31,5.55290322581,10,5.53806997805
31,2017-06-26,32,5.5540625,14,5.53828785489
32,2017-06-27,33,5.55515151515,16,5.54093012109
33,2017-06-28,34,5.55441176471,16,5.54102012609
34,2017-06-29,35,5.554,16,5.54110340803
35,2017-06-30,36,5.55472222222,16,5.54118069307
36,2017-07-03,37,5.56621621622,14,5.54118069307
37,2017-07-04,38,5.57921052632,12,5.54118069307
38,2017-07-05,39,5.59025641026,8,5.54118069307
39,2017-07-06,40,5.6005,6,5.54118069307
40,2017-07-07,41,5.61048780488,5,5.54118069307
41,2017-07-10,42,5.62023809524,4,5.54118069307
42,2017-07-11,43,5.62697674419,3,5.54118069307
43,2017-07-12,44,5.63318181818,3,5.54118069307
44,2017-07-13,45,5.64066666667,3,5.54118069307
45,2017-07-14,46,5.64782608696,0,5.54118069307
46,2017-07-17,47,5.64936170213,0,5.54442683466
47,2017-07-18,48,5.65291666667,0,5.54808579496
48,2017-07-19,49,5.65918367347,0,5.54808579496
49,2017-07-20,50,5.6672,0,5.54808579496
50,2017-07-21,51,5.67490196078,0,5.54808579496
51,2017-07-24,52,5.68365384615,0,5.54808579496
52,2017-07-25,53,5.69320754717,0,5.54808579496
53,2017-07-26,54,5.70148148148,0,5.54808579496
54,2017-07-27,55,5.71018181818,0,5.54808579496
55,2017-07-28,56,5.72357142857,0,5.60183142509
56,2017-07-31,57,5.74789473684,12,5.73033267587
57,2017-08-01,58,5.77120689655,19,5.71674203822
58,2017-08-02,59,5.7906779661,19,5.71674203822
59,2017-08-03,60,5.81283333333,17,5.71674203822
60,2017-08-04,61,5.83229508197,12,5.71674203822
61,2017-08-07,62,5.85467741935,12,5.71674203822
62,2017-08-08,63,5.88142857143,14,5.7404
63,2017-08-09,64,5.905,12,5.7404
64,2017-08-10,65,5.92446153846,8,5.7404
65,2017-08-11,66,5.9396969697,7,5.7404
66,2017-08-14,67,5.95820895522,7,5.7404
67,2017-08-15,68,5.97617647059,7,5.7404
68,2017-08-16,69,5.99188405797,5,5.7404
69,2017-08-17,70,6.00785714286,5,5.7404
70,2017-08-18,71,6.02169014085,3,5.7404
71,2017-08-21,72,6.03611111111,1,5.7404
72,2017-08-22,73,6.05383561644,1,5.7404
73,2017-08-23,74,6.07,1,5.7404
74,2017-08-24,75,6.08426666667,1,5.7404
75,2017-08-25,76,6.09842105263,1,5.7404
76,2017-08-28,77,6.11194805195,1,5.7404
77,2017-08-29,78,6.12564102564,1,5.7404
78,2017-08-30,79,6.14126582278,0,5.7404
79,2017-08-31,80,6.157875,0,5.7404
80,2017-09-01,81,6.1750617284,0,5.73947368421
81,2017-09-04,82,6.19219512195,0,5.73947368421
82,2017-09-05,83,6.21048192771,0,5.72327184466
83,2017-09-06,84,6.22964285714,0,5.72237248322
84,2017-09-07,85,6.24564705882,0,5.72237248322
85,2017-09-08,86,6.26290697674,0,5.72237248322
86,2017-09-11,87,6.28620689655,0,5.74952517986
