,TmU,k_count,ap,r_total,ccwap,ccH,cci
0,2017-09-18,1,9.59,0,0.0,0.0,0.0
1,2017-09-19,2,9.475,0,0.0,0.0,0.0
2,2017-09-20,3,9.48333333333,0,0.0,0.0,0.0
3,2017-09-21,4,9.4025,0,0.0,0.0,0.0
4,2017-09-22,5,9.37,10,9.38780106501,9.57,3.0
5,2017-09-25,6,9.34166666667,12,9.38187960826,9.57,3.0
6,2017-09-26,7,9.27857142857,18,9.37545621539,9.63,6.0
